"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6536.041015625","6155.55712890625","4290.95703125","3111.92602539063","4371.64892578125","4015.59399414063","3713.43505859375","3469.33203125","3219.72290039063","2960.1279296875","2667.48510742188","4146.6640625","4624.7451171875","4437.73779296875","4709.75","4834.673828125","5371.01513671875","5440.94189453125","6417.60009765625","6744.2001953125","6853.13818359375","7466.3671875","7239.27978515625","6968.05615234375","6721.23193359375","6595.12890625","6582.6259765625",
"Angola","AGO","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11878.728515625","10670.2080078125","7670.2109375","7702.8828125","8262.6845703125","8969.9267578125","9431.7041015625","9808.4296875","9828.810546875","9809.25","9922.9892578125","10984.78515625","11156.986328125","11982.5634765625","13773.638671875","16212","19378.76171875","21385.146484375","21073.3203125","20987.173828125","21086.923828125","21414.03125","22073.208984375","22286.396484375","22125.18359375","21377.40625","20973.375",
"Albania","ALB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8017.4091796875","7623.22900390625","8685.5556640625","9602.8466796875","11040.4384765625","12009.65625","10424.439453125","11409.7900390625","12918.7431640625","13639.119140625","16325.7412109375","15402.2041015625","16297.7783203125","17441.94921875","18692.517578125","19796.234375","21397.759765625","23244.130859375","24601.49609375","25912.27734375","26810.10546875","27292.48046875","28577.76171875","30128.943359375","30634.59375","31256.474609375","32020.658203125",
"Andorra","AND","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42335.9699258877","43493.6212632202","43272.8604304925","43038.0123382888","44743.9057322342","45305.443462547","45944.0854438399","47232.6201895762","46099.7688546636","47297.1385864013","47464.1932562238","47442.3324371054","47368.9808298547","49344.0566008143","50102.6904372025","51668.6455971577","52192.847155133","53303.516411334","52739.2655654672","53288.3060376501","53838.2708999705","54770.4358259306","54000.2077305267","53539.3597437453","53202.5830357615","53272.6808144444","53502.2466396361",
"United Arab Emirates","ARE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220774.703125","212649.453125","200337.65625","197052.3125","195818.921875","199483.203125","204453.84375","194892.25","188512.15625","193543.703125","185401","176539.453125","174363.03125","170058.609375","153507.578125","144186.59375","125511.828125","111429.1328125","93104.828125","85654.984375","85959.6875","89880.015625","93221.6953125","97359.4296875","100484.515625","102326.9296875","104081.5859375",
"Argentina","ARG","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14235.08984375","15807.4873046875","17014.552734375","18038.7109375","18544.978515625","18935.12109375","19646.34765625","19635.529296875","18988.123046875","18774.8203125","18131.25390625","16314.1552734375","16721.130859375","16435.35546875","17279.77734375","18077.658203125","19229.294921875","19618.29296875","19451.240234375","21068.08203125","22564.37109375","22399.56640625","22618.29296875","22386.72265625","22476.265625","21792.220703125","22098.11328125",
"Armenia","ARM","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9821.390625","5783.63720703125","5456.01806640625","5832.1328125","6384.453125","6869.27587890625","7035.51806640625","7634.52685546875","7849.6171875","8422.103515625","9174.0283203125","10250.92578125","11555.2353515625","12623.0673828125","14221.806640625","15976.048828125","18027.033203125","19067.740234375","16633.62109375","16414.9921875","16525.400390625","17398.26953125","17503.640625","18221.052734375","18423.703125","18877.111328125","19427.92578125",
"American Samoa","ASM","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
