"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.1699981689453","","","93.9100036621094","","","","","","93.370002746582","","","","","","","93.8300018310547","","","92.5100021362305","","","","","","","",
"Afghanistan","AFG","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.7099990844727","","34.9599990844727","30.0400009155273","36.8899993896484","40.8400001525879","42.5699996948242","","",
"Andorra","AND","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.6900024414063","","","98.9800033569336","","","","","","","","","",
"Argentina","ARG","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3399963378906","75.0500030517578","75.5199966430664","75.870002746582","76.4000015258789","76.129997253418","78.0599975585938","78.5599975585938","78.629997253418","79.0400009155273","80.1900024414063","","80.7300033569336","80.4800033569336","79.7699966430664","80.0500030517578","80.620002746582","81.1399993896484","79.870002746582","","","",
"Armenia","ARM","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.0800018310547","51.939998626709","52.7099990844727","50.3300018310547","51.5699996948242","53.25","52.060001373291","","57.1199989318848","","",
"American Samoa","ASM","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.5100021362305","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.4100036621094","84.6100006103516","84.6600036621094","84.370002746582","84.4700012207031","84.7300033569336","84.9100036621094","84.4100036621094","85.0699996948242","85.5800018310547","85.4100036621094","85.3000030517578","85.1999969482422","85.620002746582","85.9000015258789","85.6699981689453","86.379997253418","86.7399978637695","86.5899963378906","86.9000015258789","86.6999969482422","87.0299987792969","87.3199996948242","87.75","87.4100036621094","87.4000015258789","87.3600006103516","",
"Austria","AUT","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6100006103516","85.3099975585938","85.8099975585938","86.2399978637695","86.1500015258789","85.9199981689453","85.7300033569336","86.7099990844727","86.9000015258789","86.9100036621094","87.4899978637695","87.7399978637695","87.8899993896484","88.4899978637695","90.1100006103516","89.5999984741211","89.4700012207031","88.5299987792969","88.9000015258789","88.8499984741211","88.7900009155273","89.3199996948242","89.5199966430664","89.4499969482422","89.4800033569336","89.620002746582","","",
"Azerbaijan","AZE","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5699996948242","33.1800003051758","33.7700004577637","33.8300018310547","32.7099990844727","36.9599990844727","28.8999996185303","28.3799991607666","28.5699996948242","28.9400005340576","29.1499996185303","28.5","27.3600006103516","","",
"Burundi","BDI","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.10999989509583","","","","","","","","","",
"Belgium","BEL","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","80.7699966430664","78.4499969482422","79.4700012207031","80.9100036621094","82.7300033569336","83.3600006103516","82.4499969482422","82.9599990844727","84.6500015258789","83.5999984741211","84.0400009155273","84.6699981689453","83.629997253418","84.1600036621094","84.9400024414063","84.9899978637695","83.9899978637695","86.2300033569336","86.9700012207031","86.5199966430664","87.2600021362305","88.3300018310547","87.7399978637695","88.1900024414063","88.4599990844727","89.2300033569336","88.7200012207031","89.2099990844727","89.5199966430664","89.5100021362305","89.2900009155273","89.1399993896484","88.9199981689453","","",
"Benin","BEN","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01999998092651","","","","","","","",
"Burkina Faso","BFA","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.48000001907349","","","","","","","","","","","",
"Bangladesh","BGD","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6899995803833","","","","8.34000015258789","","","13.3500003814697","","11.6899995803833","","","","","8.88000011444092","49.2099990844727","","","","","","",
"Bulgaria","BGR","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.6100006103516","87.6500015258789","87.5100021362305","87.379997253418","87.1999969482422","88.7699966430664","89.9499969482422","90.5999984741211","90.1800003051758","90.1800003051758","89.9100036621094","90.5999984741211","91.1900024414063","90.9300003051758","90.6699981689453","91.1800003051758","","",
"Bahrain","BHR","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9000015258789","","","","","","","","","","98.1600036621094","","","","","","","","","97.5100021362305","","","","","","","",
"Bahamas, The","BHS","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.4599990844727","92.3300018310547","","81.8899993896484","","","","","","",
"Bosnia and Herzegovina","BIH","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.1399993896484","73.629997253418","72.5599975585938","70.4400024414063","72.0299987792969","74.2600021362305","72.3300018310547","75.9000015258789","77.7200012207031","78.1999969482422","","",
