"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6500015258789","","","87.4800033569336","","","","","","86.5400009155273","","","","","","","87.5400009155273","","","86.0299987792969","","","","","","","",
"Afghanistan","AFG","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.6100006103516","","42.1100006103516","40.0699996948242","42.9199981689453","42.1100006103516","39.8499984741211","","",
"Andorra","AND","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.6399993896484","","","95.0899963378906","","","","","","","","","",
"Argentina","ARG","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.5400009155273","69.629997253418","69.9199981689453","70.120002746582","69.5999984741211","68.8099975585938","67.0100021362305","69.9100036621094","70.8199996948242","71.1900024414063","72.5299987792969","","73.1600036621094","72.9499969482422","72.6500015258789","72.7699966430664","73.1500015258789","71.1999969482422","71.5199966430664","","","",
"Armenia","ARM","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.0999984741211","63.1199989318848","60.4300003051758","62.3400001525879","59.25","59.6300010681152","61.8800010681152","","57.2599983215332","","",
"American Samoa","ASM","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5500030517578","76.6600036621094","76.3300018310547","76.0100021362305","76.2399978637695","76.3899993896484","76.379997253418","76.3899993896484","76.25","76.3600006103516","75.7699966430664","75.4000015258789","75.2099990844727","75.6800003051758","75.8600006103516","76","76.6500015258789","77.5500030517578","77.8600006103516","77.4599990844727","77.4300003051758","78.1900024414063","79.0500030517578","79.2699966430664","78.9800033569336","79.120002746582","79.0899963378906","",
"Austria","AUT","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.0400009155273","86.3300018310547","87.1100006103516","87.2099990844727","85.75","85.620002746582","85.4400024414063","85.7099990844727","85.6600036621094","85.870002746582","85.6999969482422","85.6600036621094","85.3499984741211","85.7200012207031","85.2099990844727","84.9199981689453","84.8499984741211","84.4599990844727","84.3899993896484","84.1999969482422","83.9199981689453","84.4499969482422","84.6399993896484","84.4599990844727","84.25","84.6800003051758","","",
"Azerbaijan","AZE","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.2400016784668","33.1800003051758","33.7799987792969","47.4500007629395","50.7400016784668","47.7099990844727","35.7599983215332","35.310001373291","34.6800003051758","37.4099998474121","37.5400009155273","37.25","36.6800003051758","","",
"Burundi","BDI","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.47999954223633","","","","","","","","","",
"Belgium","BEL","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","82.0999984741211","80.8199996948242","80.3099975585938","80.9000015258789","80.9800033569336","81.2699966430664","79.7799987792969","79.9300003051758","81.5500030517578","81.1999969482422","80.7900009155273","80.6900024414063","81.0100021362305","80.5699996948242","81.3000030517578","80.9800033569336","81.8099975585938","82.2900009155273","83.1900024414063","83.1100006103516","83.0299987792969","82.9700012207031","82.4700012207031","82.3600006103516","82.5699996948242","82.9899978637695","82.3199996948242","82.6900024414063","82.5199966430664","82.4400024414063","81.2099990844727","82.1399993896484","81.25","","",
"Benin","BEN","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5299997329712","","","","","","","",
