"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","","","","","","","4.59999990463257","","","","","","","","","","","","","",
"Angola","AGO","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60000002384186","","","","","5.30000019073486","","","","","","","","","","","","","","","","",
"Albania","ALB","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","","","30","","","","","25.2000007629395","","","","23.3999996185303","","","","","","","","",
"Andorra","AND","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1000003814697","","13.5","","","","","","","","","9.89999961853027","","","","","","","","","","","","",
"Armenia","ARM","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8000001907349","","16","","","","","11.6999998092651","","","","","16.7999992370605","","","","","","","",
"American Samoa","ASM","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.19999980926514","","","","","","","","","","","","8","","","","","","","","","","",
"Austria","AUT","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.09999990463257","","","","6.19999980926514","4.40000009536743","","","","","13.8999996185303","","","","","","","13","","","","",
"Burundi","BDI","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29999995231628","","","","","","","","","","","","","1.39999997615814","","","","","","","","","","2.90000009536743","","","","","","","",
"Belgium","BEL","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","","","","3","","","","","11.3999996185303","","","","","","","","1.70000004768372","","","",
"Burkina Faso","BFA","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.79999995231628","","","","","","1.89999997615814","","","","5.40000009536743","","","6.90000009536743","","","","2.79999995231628","","","","","","","",
"Bangladesh","BGD","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","0.200000002980232","","","0.200000002980232","","","","0.600000023841858","0.300000011920929","0.200000002980232","0.400000005960464","0.200000002980232","0.200000002980232","0.300000011920929","1.70000004768372","0.200000002980232","0.5","0.899999976158142","0.800000011920929","0.899999976158142","0.899999976158142","0.899999976158142","0.899999976158142","0.699999988079071","1.10000002384186","","","","1.89999997615814","","1.60000002384186","1.60000002384186","","","",
"Bulgaria","BGR","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6000003814697","","","","","","","","","","","","","",
"Bahrain","BHR","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2999992370605","","","","","","25.6000003814697","","","","","","17.3999996185303","","","","","",
"Belarus","BLR","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.69999980926514","","","","","","","","","","","","",
"Belize","BLZ","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6999998092651","","","","","7.90000009536743","","","","","","",
"Bermuda","BMU","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.80000019073486","","","","","7.09999990463257","","","","10.6999998092651","","","","","9.19999980926514","","","","","8.69999980926514","","","","","","","","","",
"Brazil","BRA","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.59999990463257","","","","","","","","","","","7.30000019073486","","","","","","","","","","",
"Barbados","BRB","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","5.69999980926514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1999998092651","","","","","",
"Brunei Darussalam","BRN","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.30000019073486","","","","","","","","",
"Bhutan","BTN","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","","","","","","","","","","","","3.90000009536743","","","","","","","","","4.40000009536743","","7.59999990463257","","","","","","","",
"Botswana","BWA","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3999996185303","","","","","","","11.1999998092651","","","","","","","","","","",
"Central African Republic","CAF","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.19999980926514","1.5","","","","","10.8000001907349","","","","","","8.5","","","","1.79999995231628","","","","","","","",
"Canada","CAN","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","7.59999990463257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3999996185303","","","","","","","","10.1000003814697","10.8999996185303","10.6999998092651","","11.1999998092651","11.8999996185303","","12.8999996185303","12","12.1000003814697","12.1000003814697","","11.6999998092651","9.80000019073486","9.5","","","","","10.1000003814697","9.30000019073486","","","",
"China","CHN","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.30000019073486","","7.19999980926514","","","13.6000003814697","","","5.5","","3.40000009536743","","9.19999980926514","","","5.90000009536743","","","5.40000009536743","5.30000019073486","6.59999990463257","","","","","","","",
"Cote d'Ivoire","CIV","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.70000004768372","","","","4.59999990463257","","","","","","","","8.39999961853027","4.90000009536743","","","","","3.20000004768372","","","","","",
"Cameroon","CMR","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.69999980926514","","","","","","","8.19999980926514","","","","","","8.69999980926514","","9.60000038146973","","","","","6.5","","","6.69999980926514","","","",
"Congo, Dem. Rep.","COD","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","","","","","","6.80000019073486","","","4.90000009536743","","","4.40000009536743","","","","",
"Congo, Rep.","COG","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39999997615814","","","","","","","","","","","","","","","","","","8.5","","","","","","3.59999990463257","","","","5.90000009536743","","",
"Colombia","COL","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","4.90000009536743","","","","","","","","","4.5","","","","","5.30000019073486","","","","","4.19999980926514","","","","","4.80000019073486","","","","","","","",
"Comoros","COM","Prevalence of overweight, weight for height (% of children under 5)","SH.STA.OWGH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.90000009536743","","","","21.5","","","","","","","","","","","","10.8999996185303","","","","","",
