"","Year","SITC","sitc_sdesc","Country","ExportsFASValueBasisJan","GenImportsCustomsValBasisJan","GenImportsCIFValBasisJan","ExportsFASValueBasisFeb","GenImportsCustomsValBasisFeb","GenImportsCIFValBasisFeb","ExportsFASValueBasisMar","GenImportsCustomsValBasisMar","GenImportsCIFValBasisMar","ExportsFASValueBasisApr","GenImportsCustomsValBasisApr","GenImportsCIFValBasisApr","ExportsFASValueBasisMay","GenImportsCustomsValBasisMay","GenImportsCIFValBasisMay","ExportsFASValueBasisJun","GenImportsCustomsValBasisJun","GenImportsCIFValBasisJun","ExportsFASValueBasisJul","GenImportsCustomsValBasisJul","GenImportsCIFValBasisJul","ExportsFASValueBasisAug","GenImportsCustomsValBasisAug","GenImportsCIFValBasisAug","ExportsFASValueBasisSep","GenImportsCustomsValBasisSep","GenImportsCIFValBasisSep","ExportsFASValueBasisOct","GenImportsCustomsValBasisOct","GenImportsCIFValBasisOct","ExportsFASValueBasisNov","GenImportsCustomsValBasisNov","GenImportsCIFValBasisNov","ExportsFASValueBasisDec","GenImportsCustomsValBasisDec","GenImportsCIFValBasisDec","ExportsFASValueBasisYtdDec","GenImportsCustomsValBasisYtdDec","GenImportsCIFValBasisYtdDec","CTY_CODE"
"1","1996","681","SILVER, PLATINUM & OTHER PLATINUM GROUP METALS","Ecuador",73911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73911,0,0,"3310"
"2","1996","325","COKE AND SEMICOKE OF COAL","India",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7660,0,0,0,0,0,0,0,0,0,0,0,7660,0,0,"5330"
"3","1996","641","PAPER AND PAPERBOARD","Czech Republic",651736,0,0,519931,0,0,129647,0,0,381054,0,0,442885,5270,5428,425308,5461,5625,371680,2253,2296,613923,0,0,1065108,0,0,675740,1819,2325,582108,4600,5060,193325,1791,1845,6052445,21194,22579,"4351"
"4","1996","716","ROTATING ELECTRIC PLANT AND PARTS","St Vincent and the Grenadines",0,0,0,0,0,0,14300,0,0,0,0,0,2563,0,0,0,0,0,3500,1973,2069,0,0,0,0,0,0,4430,4497,4597,18000,0,0,6368,0,0,49161,6470,6666,"2488"
"5","1996","652","COTTON FABRICS, WOVEN","United Arab Emirates",1665012,1084835,1122837,594593,1442149,1489916,246123,1163691,1203398,795388,1187312,1227663,754062,1441993,1487872,1053600,1484604,1535220,244820,799334,825513,1106585,1109430,1147278,1590862,1827469,1893809,343255,579472,600800,914274,1579389,1633404,410447,829890,856895,9719021,14529568,15024605,"5200"
"6","1996","571","POLYMERS OF ETHYLENE","United Arab Emirates",37380,918,1004,54454,0,0,278009,0,0,457654,0,0,145851,0,0,0,0,0,0,0,0,19800,0,0,317451,0,0,0,0,0,43400,0,0,66492,0,0,1420491,918,1004,"5200"
"7","1996","792","AIRCRAFT & ASSOCIATED EQUIPMENT","Senegal",178309,0,0,54669,0,0,492484,0,0,181613,0,0,42415,0,0,125942,0,0,233228,0,0,79235,0,0,153520,0,0,130522,0,0,229503,0,0,32306,0,0,1933746,0,0,"7440"
"8","1996","665","GLASSWARE","Egypt",83730,229292,260206,30685,91591,99863,161019,179696,200450,2933,168535,192570,41660,85955,102617,80357,186236,207104,28626,189188,206687,21539,392084,435756,7153,420553,483123,19806,408960,476382,6973,179358,206793,16500,268681,301686,500981,2800129,3173237,"7290"
"9","1996","282","FERROUS WASTE & SCRAP","Ukraine",0,4070,5955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070,5955,"4623"
"10","1996","583","MONOFILAMENTS OF PLASTICS","Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3329,0,0,3329,0,0,"2080"
"11","1996","793","SHIPS, BOATS AND FLOATNG STRUCTURES","Finland",299259,388279,399024,170379,0,0,255568,175314,192428,210502,870165,903275,371999,1853516,1886094,229884,575631,585598,286598,325000,335000,109300,0,0,220354,156766,169390,46714,702869,724869,322510,314266,318666,485109,247147,255703,3008176,5608953,5770047,"4050"
"12","1996","059","FRUIT/VEGETABLE JUICES, UNFERMENTED","Guatemala",5590,0,0,12962,0,0,55159,0,0,3984,0,0,0,0,0,3068,0,0,88874,0,0,41887,0,0,42076,2000,2080,65986,2568,2715,3816,22011,25256,82463,5971,6389,405865,32550,36440,"2050"
"13","1996","771","ELECTRIC POWER MACHINERY, AND PARTS","Slovakia",0,0,0,6097,0,0,0,0,0,4438,0,0,0,0,0,3787,0,0,0,0,0,0,0,0,0,0,0,0,1901,1918,17294,0,0,0,0,0,31616,1901,1918,"4359"
"14","1996","121","TOBACCO, TOBACCO REFUSE","Fiji",0,0,0,0,0,0,0,0,0,0,0,0,223594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73098,0,0,274062,0,0,0,0,0,570754,0,0,"6863"
"15","1996","278","CRUDE MINERALS","Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,0,0,0,0,0,0,0,0,2800,0,0,"6820"
"16","1996","716","ROTATING ELECTRIC PLANT AND PARTS","Ukraine",183055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19300,0,0,0,0,0,9267,0,0,0,0,0,436477,0,0,3214,0,0,0,0,0,651313,0,0,"4623"
"17","1996","726","PRINTING & BOOKBINDING MACHINERY","Afghanistan",6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600,0,0,0,0,0,0,0,0,2836,0,0,0,0,0,22990,0,0,39026,0,0,"5310"
"18","1996","541","MEDICINAL PRODUCTS, EXCEPT MEDICAMENTS","Belize",25670,0,0,9778,0,0,29175,0,0,33726,0,0,51955,0,0,33707,0,0,38693,0,0,20822,0,0,47087,0,0,35088,0,0,25677,0,0,4911,0,0,356289,0,0,"2080"
"19","1996","642","PAPER & PAPERBOARD, CUT TO SIZE OR SHAPE, ARTICLE","Haiti",1245549,20607,21081,385072,0,0,696875,0,0,418080,0,0,861442,0,0,256936,0,0,261765,0,0,880031,0,0,602627,0,0,352996,0,0,291099,1407,1457,293071,0,0,6545543,22014,22538,"2450"
"20","1996","267","MANMADE FIBERS FOR SPINNING","China",6956326,0,0,2917784,0,0,3976357,0,0,6386454,1253,1358,10579270,1860,1948,4789424,0,0,17201816,0,0,961428,0,0,1432784,0,0,2840931,0,0,6231910,0,0,13169872,0,0,77444356,3113,3306,"5700"
"21","1996","289","ORES & CONCENCENTRATE OF PRECIOUS METAL","South Africa",0,76225,78025,0,0,0,0,5491,7773,2883,36199,38671,0,0,0,0,0,0,0,0,0,0,220819,249902,3227,0,0,0,1246483,1246683,0,0,0,487057,0,0,493167,1585217,1621054,"7910"
"22","1996","763","SOUND RECORDERS AND TV RECORDERS","Trinidad and Tobago",62409,0,0,15431,0,0,47998,0,0,99014,0,0,31597,0,0,64060,0,0,77842,0,0,117414,0,0,74364,0,0,278342,0,0,221289,0,0,57446,0,0,1147206,0,0,"2740"
"23","1996","037","FISH, CRUSTACEANS AND MOLLUSCS","Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137298,139645,0,0,0,0,137298,139645,"4850"
"24","1996","897","JEWELRY, GOLDSMITHS' & SILVERSMITHS' WARES","Barbados",64241,0,0,48845,0,0,7062,0,0,36026,5731,5861,61106,0,0,56090,0,0,22061,0,0,0,0,0,21887,19810,19813,155642,0,0,863951,0,0,384209,0,0,1721120,25541,25674,"2720"
"25","1996","421","FIXED VEGETABLE FATS & OILS","Kuwait",0,0,0,2553331,0,0,0,0,0,0,0,0,2337095,0,0,4842,0,0,2560,0,0,81900,0,0,2916745,0,0,2816,0,0,27069,0,0,927009,0,0,8853367,0,0,"5130"
"26","1996","682","COPPER","Tunisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15674,0,0,0,0,0,0,0,0,0,0,0,15674,0,0,"7230"
